-------- 1 - Règles
Règles,
Buteur ou clean sheet,
<,entré en cours de match
Note > 7,
Note < 3,
Notes L1 = MonPetitGazon,
-------- 2 - OM
Olympique de Marseille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effectif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poste,Nom,Tit.,Entrée,Buts,M. L1,J01(D): TFC,J02(E ): EAG,J03(D): FCL,J04(E ): OGCN,J05(D): OL,J06(E ): SRFC,J07(D): FCN,J08(E ): SMC,J09(D): FCM,J10(E ): PSG,J11(D): FCGB,J12(E ): MHSC,J13(D): SMC,J14(E ): ASM,J15(E ): ASSE,J16(D): ASNL,J17(E ): DFCO,J18(D): LOSC,J19(E ): SCB,J20(D): ASM,J21(E ): OL,J22(D): MHSC,J23(E ): FCM,J24(D): EAG,J25(E ): FCN,J26(D): SRFC,J27(D): PSG,J28(E ): FCL,,,,,,,,,,,
A,Bosetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Honorat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Ranieri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Caddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Le Bihan,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,<,<,,,,,,,,,,,
A,Pléa,22,3,11,5.14,4,7,4,4,4,<,7,<,<,8,7,4,3,6,4,7,6,6,4,4,5,7,4,3,Bl.,,,,,,,,,,,,,,
A,Donis,1,11,1,5.00,<,,,,<,,<,,,<,,<,<,,<,<,,,,<,,,,,6,<,4,,,,,,,,,,,,
A,Balotelli,13,2,9,5.46,,,,8,,8,,6,5,,7,3,,,,,<,7,4,,4,7,4,<,,3,,5,,,,,,,,,,,
A,Benrahma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5.2,5.6,5.3636363636363633,5.6363636363636367,5.2727272727272725,6.7272727272727275,5.7272727272727275,5.4545454545454541,6.1818181818181817,6.1818181818181817,6.2727272727272725,4.6363636363636367,5.7272727272727275,5.2727272727272725,5.9090909090909092,6.2727272727272725,5.3636363636363633,5.6363636363636367,5.3636363636363633,4.8181818181818183,5.0909090909090908,6,3.7272727272727271,5.7272727272727275,5.0909090909090908,5.7272727272727275,5.4545454545454541,5.7272727272727275,,,,,,,,,,,
