poste,nom,tit,entrees,buts,team,J01,J02,J03,J04,J05,J06,J07,J08,J09,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29*
M,Wanyama,,,,T,5,7,6,5,6,5,6,6,6,5,4,5,5,6,5,7,6,6,6,6,7,5,6,6,4,6,5,,5:2
M,Eriksen,,,,T,4,4,5,8,,6,6,7,5,5,5,4,6,8,5,8,6,7,6,7,8,4,4,5,4,8,5,,7:6
M,Carroll,,,,T,,<,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Onomah,,,,T,,<,<,,,,,,,,,,,<,,<,,,,,,,,,,,,,
M,Winks,,,,T,,,<,,,<,,,,<,<,6,<,<,<,<,6,<,<,<,<,<,,<,<,<,<,,<:1
M,Sissoko,,,,T,,,,<,5,4,5,5,<,,,,,<,<,6,<,5,,<,,<,<,<,<,,<,,
M,Dembélé,,,,T,,,,,6,,,<,6,5,6,5,5,7,5,,6,6,,6,7,6,7,6,5,6,4,,6
M,Nkoudou,,,,T,,,,,,<,<,,,<,,,<,,<,,,,,,,,,,,,,,
A,Kane,,,,T,4,6,4,7,7,,,,,,5,7,4,8,4,6,6,5,9,4,9,6,4,5,4,9,8,,:19
A,Son,,,,T,,,,8,6,8,6,<,4,4,4,<,4,7,4,<,<,<,4,<,<,<,5,6,3,<,,,5:7
A,Janssen,,,,T,<,4,<,<,<,5,<,5,<,6,<,6,<,,,,,<,<,,,,<,<,<,,<,,<:1
G,Adrian,,,,W,6,7,4,3,4,6,5,7,6,6,4,,,,,,,,,,,,,,,,,,
G,Randolph,,,,W,,,,,,,,,,,,4,7,4,4,7,7,6,5,6,6,5,3,6,4,5,5,6,4
G,Spiegel,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Collins,,,,W,6,5,4,2,4,,5,,,,6,,5,4,,,,,,,6,<,,<,<,,,,:1
D,Reid,,,,W,5,6,4,3,,4,8,6,7,4,,6,,3,6,6,7,8,5,4,6,6,5,5,5,6,4,4,4:2
D,Masuaku,,,,W,5,5,6,4,3,,,,,,,,,4,,,,,,,,,,,,,,,<
D,Byram,,,,W,<,5,<,3,,,5,,,,,,,,,,,,,,<,5,3,,,,<,<,4
D,Ogbonna,,,,W,,,4,,4,4,5,4,6,4,6,4,6,2,5,6,6,6,5,5,5,6,,,,,,,
D,Cresswell,,,,W,,,,,,,,6,,4,5,5,5,,6,4,5,5,7,4,5,6,2,5,5,6,5,4,4
D,Fonte,,,,W,,,,,,,,,,,,,,,,,,,,,,,3,5,5,6,4,3,5
D,Arbeloa,,,,W,,,,,,4,<,,,,,,,<,,,,,,,,,,,,,,,
M,Kouyaté,,,,W,4,7,5,5,6,3,5,6,7,4,5,4,5,,,5,7,7,4,4,,,,6,4,4,4,4,7
M,Nordveit,,,,W,4,6,,,6,4,,,,,,<,,,5,,<,6,5,4,,,,,,,,,
M,Noble,,,,W,5,7,4,5,5,4,5,5,7,5,5,,4,3,5,6,7,6,4,,6,5,3,7,5,5,5,5,:3
M,Payet,,,,W,<,,,7,8,3,7,5,7,5,6,5,7,4,7,7,7,7,5,4,,,,,,,,,:2
M,Töre,,,,W,<,7,4,<,,,4,,,,,,,,,,,,,,,,,,,,,,
M,Obiang,,,,W,,<,,,,,5,7,6,5,6,4,5,3,6,6,5,,,4,6,6,3,8,4,6,5,5,4:1
M,Fernandes,,,,W,,,,,,<,,,6,4,<,<,,5,<,,<,<,<,<,<,<,<,,<,<,<,,<
M,Antonio,,,,W,3,7,5,7,6,3,5,5,5,5,4,7,4,,6,5,6,6,5,4,8,6,4,5,5,6,,7,5:9
M,Snodgrass,,,,W,,,,,,,,,,,,,,,,,,,,,,,<,5,5,4,5,<,<
M,Feghouli,,,,W,,,,,<,<,,,<,<,<,,<,,,,,<,<,2,7,6,4,5,6,5,4,6,:2
A,Ayew,,,,W,4,,,,,,,,,<,4,4,<,<,4,,<,6,4,<,,,,,,<,<,<,5:4
A,Carroll,,,,W,4,,,,,,,,,,,,,<,<,6,5,7,4,<,7,8,4,6,,,4,4,6:6
A,Valencia,,,,W,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Calleri,,,,W,,<,<,<,<,,,,<,,,,,,,,,,,,,<,,<,<,,,,:1
A,Fletcher,,,,W,,<,3,<,<,<,,,<,,<,,<,3,,,,<,,,<,,<,,,,,,
A,Lanzini,,,,W,,,<,4,6,4,<,7,6,4,4,7,4,4,5,5,4,,<,5,7,8,3,<,7,6,6,6,8:7
A,Sakho,,,,W,,,,,,,,,,,,4,6,,,,,,,,,,,,,,,,:1
A,Zaza,,,,W,,,,4,4,4,<,6,5,<,,<,,,,,,,,,,,,,,,,,
G,Jakupovic,,,,H,6,6,6,5,6,,,,,,,,,,,,,,,,6,5,7,7,6,5,4,5,4
G,Marshall,,,,H,,,,,,5,6,3,5,5,7,4,5,5,5,5,6,5,5,4,,,,,,,,,:(-1)
D,El Mohamady,,,,H,6,5,5,5,3,3,,2,4,4,5,4,5,5,5,3,5,5,5,7,,,,,<,5,4,<,<
D,Livermore,,,,H,6,6,5,5,3,4,5,3,4,4,5,5,4,5,7,5,5,4,6,6,<,,,,,,,,:1
D,Davies,,,,H,6,7,7,6,3,3,5,3,4,5,5,4,5,4,5,4,6,4,6,3,7,5,,,,,,,5:(-1)
D,Robertson,,,,H,6,6,5,6,3,3,4,4,,,,,<,4,5,3,6,3,5,,7,4,6,6,6,6,4,5,3
D,Maguire,,,,H,,,<,,<,<,,3,<,5,5,,,,5,4,6,5,5,4,5,6,6,6,5,6,4,6,3
