poste,nom,tit,entrees,buts,team,J01,J02,J03,J04,J05,J06,J07,J08,J09,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29*
D,Daniels,,,,B,5,4,4,6,2,5,4,8,5,5,6,6,,,7,5,3,4,6,6,3,4,,,4,5,5,5,6:3
D,Aké,,,,B,,<,<,,,,,,,,,8,4,5,5,6,6,,7,5,,,,,,,,,:3
D,Mings,,,,B,,,,,,,,,,,,,,,,<,,,,,3,5,,2,<,5,5,,:(-2)
D,Cargill,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,<,,
D,Lee,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,L. Cook,,,,B,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Surman,,,,B,6,5,5,5,3,6,4,7,,5,,,,,,,,3,6,<,4,5,4,4,5,4,3,,6
M,Arter,,,,B,4,4,7,5,3,7,6,6,6,4,5,6,5,5,5,6,5,4,7,6,5,,<,5,5,5,4,4,:1
M,Fraser,,,,B,,5,5,,,,,,<,<,<,,,<,5,,<,,6,7,5,5,4,5,3,5,5,6,6:3
M,Gosling,,,,B,,<,<,<,<,<,<,<,5,<,7,5,4,5,5,<,,3,<,5,,,,4,,<,<,4,7:2
M,Stanislas,,,,B,,,,5,3,6,6,9,,,6,6,5,5,,,,<,7,7,5,5,5,,,,,,:4
M,Wilshere,,,,B,,,,<,3,6,4,6,5,5,5,7,,5,<,6,6,5,6,,4,6,5,6,5,5,,<,<
M,Hyndman,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,A. Smith,,,,B,4,5,5,7,3,6,5,7,5,5,4,,4,4,4,5,5,3,<,<,4,6,4,,4,4,4,5,6:1
M,Pugh,,,,B,,,,,,,,,,,,<,,,<,8,5,,,,<,<,,3,<,4,5,5,4:1
A,Ibe,,,,B,4,5,5,6,4,5,4,5,5,5,3,,<,<,,,<,<,,,,<,<,<,4,,,,<
A,Wilson,,,,B,3,4,3,6,<,4,7,7,4,4,,4,6,6,3,<,4,,,6,<,4,<,,,,,,:6
A,King,,,,B,4,5,7,5,4,,<,<,5,3,4,4,5,5,<,5,4,4,<,4,<,6,4,7,4,5,7,8,7:11
A,Afobe,,,,B,<,,,,,<,<,<,<,<,<,<,<,<,6,6,<,<,7,,3,<,4,<,<,<,4,3,7:4
A,Gradel,,,,B,<,,,<,<,<,,,<,,,,,,,,,,,,,,,,,,<,,<
A,Mousset,,,,B,,,,,,,,,,,<,,<,,,,,,,,,,,,,<,,<,
A,Grabban,,,,B,<,<,<,,,,,,,,,,,,,,,,,,,,,,,,,,
G,de Gea,,,,M,6,6,6,6,4,5,4,6,3,6,5,4,5,6,6,5,6,5,5,6,6,5,6,6,6,,5,,5
G,Romero,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Johnstone,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Valencia,,,,M,5,6,7,5,5,6,6,6,3,,,5,6,6,5,,6,6,7,7,6,6,5,8,6,,6,,7:1
D,Bailly,,,,M,6,6,7,4,4,6,6,7,4,,,,,,<,6,,,5,,,,,6,7,,,,6
D,Blind,,,,M,6,6,7,5,,8,7,6,3,6,,<,,,,5,,7,6,,,5,6,<,6,,,,:1
D,Shaw,,,,M,5,6,6,4,4,,,<,,5,,,,,,,,,,,,,,,,,7,,
D,Smalling,,,,M,,<,<,,5,7,5,6,2,,,,,,,,<,,5,<,,5,<,7,6,,,,5:1
D,Darmian,,,,M,,,,,,,,,,6,5,5,5,5,5,<,6,,,5,5,,,,,,,,<
D,Rojo,,,,M,,,,,,,,,<,6,6,6,5,6,6,5,7,6,<,6,6,,6,5,,,7,,<:1
D,Fosu-Mensah,,,,M,,,,,,,,,,,<,,,,,,,,,,,,,,,,,,
D,Jones,,,,M,,,,,,,,,,,6,6,6,6,7,5,6,6,,6,7,6,6,,,,4,,5
M,Herrera,,,,M,6,<,,<,,6,6,7,5,6,,7,6,6,8,6,5,7,6,6,5,7,6,7,7,,,,
M,Fellaini,,,,M,7,6,6,6,6,,,6,4,<,5,,<,<,<,,<,<,6,,<,6,,<,<,,<,,6:1
M,Schneiderlin,,,,M,<,,,,,,,,,,<,<,,,,,,,,,,,,,,,,,
M,Mkhitaryan,,,,M,<,<,<,4,,,,,,,,,<,6,6,,,<,7,6,6,5,4,8,6,,,,:3
M,Pogba,,,,M,,7,6,5,4,8,6,4,4,7,7,5,8,5,5,8,6,8,8,6,3,6,7,6,7,,6,,:4
M,Lingard,,,,M,,,,4,,7,6,,4,6,<,,6,,,<,6,5,,4,,<,,,<,,<,,8:1
M,Schweinsteiger,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Ashley Young,,,,M,,,,,<,<,,5,,,6,,,,,,,,,,,,,<,,,,,7
M,Carrick,,,,M,,,,,,<,,,,,6,5,,5,6,6,6,6,,7,5,,5,,,,5,,5
M,Mata,,,,M,7,6,6,,<,8,5,,<,8,6,7,5,,,4,,6,<,<,<,3,<,7,8,,5,,6:6/(-1)
A,Rooney,,,,M,7,6,7,4,4,<,<,<,,<,7,<,<,,,6,6,<,,,<,<,<,,,,5,,:2
A,Martial,,,,M,6,5,5,<,4,,<,,<,,,5,,6,4,,,,7,,5,,,,8,,5,,<:3
A,Depay,,,,M,<,,,,<,,<,,,<,,,,,,,,,,,,,,,,,,,
A,Rashford,,,,M,,,<,<,5,6,5,5,3,5,,4,4,<,<,<,<,,<,<,,<,5,6,<,,<,,4:3
A,Ibrahimovic,,,,M,7,7,5,6,4,5,6,4,4,6,8,,6,6,5,7,7,8,6,6,6,4,5,7,6,,2,,:15
G,Courtois,,,,C,5,5,6,4,5,4,6,6,7,6,5,6,6,6,6,6,6,6,4,4,7,7,5,6,6,5,4,,5
G,Begovic,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Eduardo,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Ivanovic,,,,C,6,6,6,6,5,4,,,,<,,<,<,,<,<,<,,<,,,,,,,,,,
D,Cahill,,,,C,5,5,6,4,5,2,6,6,7,5,6,6,5,6,5,6,6,6,6,4,6,7,5,6,5,5,5,,5:4/(-1)
D,Terry,,,,C,5,5,6,5,,,,,,,<,,,,,,,,,,,,,,,,,,
D,Azpilicueta,,,,C,6,5,6,5,4,4,5,7,7,6,6,5,5,5,7,6,7,6,4,5,5,6,5,5,5,5,5,,6
D,Zouma,,,,C,,,,,,,,,,,,,,,,,,,,,,,,<,,<,<,,<
D,Aina,,,,C,,,,,,,,<,,,,,,,,,,<,,,,,,,,,,,
D,David Luiz,,,,C,,,,,4,4,6,6,6,6,7,6,6,6,6,6,6,6,5,4,6,5,7,5,5,5,6,,7:1
D,Alonso,,,,C,,,,,,<,6,6,7,6,8,6,5,7,6,6,5,6,4,4,8,6,5,7,5,5,5,,6:4
M,Willian,,,,C,6,,7,6,5,4,7,,<,<,,,<,<,<,7,5,6,8,<,6,<,4,<,<,<,<,,7:6
M,Oscar,,,,C,6,5,6,7,4,,<,,,,<,<,<,,,,,,,,,,,,,,,,
M,Kanté,,,,C,6,6,6,6,5,4,7,7,8,7,7,5,5,6,6,6,6,,6,3,5,6,5,5,6,6,5,,7:1
M,Matic,,,,C,5,5,6,5,6,4,6,7,7,6,8,6,6,,6,<,6,6,<,7,7,5,6,5,4,<,<,,6
M,Hazard,,,,C,6,7,8,5,5,3,6,7,7,7,9,7,6,7,5,,6,8,6,3,6,4,5,7,6,7,7,,:11
M,Pedro,,,,C,<,5,<,,<,<,<,6,7,5,8,4,7,4,5,5,,7,,4,7,5,<,6,6,8,6,,6:7
M,Moses,,,,C,<,<,<,<,<,,6,7,7,7,7,5,6,6,5,6,6,7,5,4,6,7,6,6,5,6,6,,6:3
M,Loftus-Cheek,,,,C,,,,,,,,<,,,,,,,,,,,,,<,,,,,,,,<
M,Chalobah,,,,C,,,,,,,<,<,<,,,<,,<,,<,,<,<,,,,,,,,,,
M,Fabregas,,,,C,,<,,<,<,4,,,,,,,,7,<,7,<,6,7,<,<,<,<,<,<,8,5,,<:3
A,Diego Costa,,,,C,6,6,6,8,6,3,7,7,6,7,7,7,6,8,7,5,6,,7,4,,7,3,5,5,7,6,,5:17
A,Batshuayi,,,,C,<,<,<,<,,<,,,<,<,<,,,<,,,<,<,,<,<,<,<,,<,,,,:1
